"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"RASGRP3",791.568955772121,1.0805570653962,0.166955906525225,4.07581358447794e-11,1.65104729835788e-10
"LOC730183",11.0420976850982,-1.77601564741328,0.281393543711104,4.08083487563566e-11,1.65214457668113e-10
"ZDHHC24",121.158065235997,-1.11236518223959,0.171461317921186,4.07979427637961e-11,1.65214457668113e-10
"SNORD116-2",87.1870107690497,-1.35995004390332,0.21077971080888,4.1324543914504e-11,1.67272700608039e-10
"NRSN2",190.345599863376,-1.0298677230717,0.159102782545057,4.15485171034534e-11,1.68147539100891e-10
"AX747826",132.90460316496,1.18615867902454,0.183280962679702,4.2285636140926e-11,1.70969258518858e-10
"TBX6",14.0235911442462,-1.48299429853475,0.232427391720677,4.27845057978492e-11,1.72888445091497e-10
"GRID2IP",8.81248472758075,-2.14420474786938,0.340145686359072,4.36960149368537e-11,1.76538489753362e-10
"RAD9A",171.304216680254,-1.2048482504464,0.186397814155696,4.40537091441089e-11,1.77950084448866e-10
"ATP8B4",1460.80106107563,1.02169667705672,0.157818072601856,4.43259967926578e-11,1.78982496092132e-10
"CD244",87.565587785163,1.58382611596896,0.248426427040301,4.45207728776865e-11,1.79667430820458e-10
"ISL2",7.90662358296282,4.30569514986556,0.698712495582791,4.45621023397851e-11,1.79800365107043e-10
"CLDN15",134.767435854315,-1.12688569865086,0.173882696823015,4.51233457793022e-11,1.82030617370184e-10
"AK302092",12.3216347095204,-4.75160210257074,0.753853533884619,4.63211666147845e-11,1.8658176358855e-10
"FBXL7",530.739786350897,-1.21927081590451,0.188969219146806,4.63145757458248e-11,1.8658176358855e-10
"GCSAM",48.1705715488278,2.24742374662073,0.361331834463356,4.64801194782451e-11,1.87151681528692e-10
"CTB-61M7.2:ENSG00000268734",8.84830799564808,3.70750506792504,0.736243370469457,4.65038284832939e-11,1.8721197518453e-10
"BHMT2",335.908377410031,-1.27650679744235,0.197955811514023,4.71473004311985e-11,1.8965992682843e-10
"DCC",56.3820715995412,3.46938887849061,0.56136440265066,4.71832544544195e-11,1.89768942150792e-10
"SGPP2",7.76903699273186,3.99797132133615,0.657068428726572,4.75153738180285e-11,1.90961373906207e-10
"C19orf26",12.1768476089819,-2.31585338332557,0.368169987932638,4.80145964878705e-11,1.92823092847017e-10
"C11orf87",8.98705026658621,-3.33963124133437,0.530191915835788,4.80479825806886e-11,1.92921021103765e-10
