"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezid"
"TNFSF13B",853.49509419195,1.99400957316921,0.210358899338939,3.21733518727188e-22,4.93962357226349e-21,"10673"
"TLR2",2075.84771369489,2.18382798152248,0.230942650247588,3.25785282516543e-22,4.994675221872e-21,"7097"
"CXorf21",242.840169365172,2.18713629206732,0.232883566395174,3.42149245612642e-22,5.22313730855823e-21,NA
"MGAM",153.034002976547,3.99193286784347,0.423885496202986,3.61495121998278e-22,5.49888215031163e-21,"8972"
"CCZ1B",912.593412176276,1.11865723516284,0.11700763143742,4.12648706384232e-22,6.24156649536573e-21,"221960"
"DENND4A",2732.37401169794,1.14169556004624,0.119386724930372,4.40512046318421e-22,6.63958838870795e-21,"10260"
"HIST1H2BB",103.663448246716,2.88928276500525,0.310904748513428,4.75071917795558e-22,7.13540043035193e-21,NA
"CXCL10",895.686420748366,4.59388646048447,0.495151420582784,4.77909552410361e-22,7.17299400336924e-21,"3627"
"ELK2AP",1960.09644639188,6.20651574430097,0.67630070399651,4.80255283882162e-22,7.19811992968279e-21,"2003"
"GCH1",364.749712721208,2.39746208654709,0.254298316415393,4.79982115242071e-22,7.19811992968279e-21,"2643"
"CD79A",412.060794829542,5.3219732207349,0.577946875424943,4.90765592579863e-22,7.34537635877388e-21,"973"
"VNN3",31.6646660059366,5.01247456405433,0.545591519243353,4.93615770735095e-22,7.37811156008725e-21,NA
"GPR84",42.1201935438026,3.82313230886679,0.406331860550921,5.77299302287608e-22,8.52739899788443e-21,"53831"
"APOBEC3A",105.665965173022,5.01341119405468,0.541714166299466,6.05690888677023e-22,8.92831693054651e-21,"200315"
"RP11-284N8.3:ENSG00000259834",321.690208025409,3.41309633997164,0.366585772690287,6.21695926242326e-22,9.15165438678007e-21,NA
"MMP1",11942.1982862273,5.37462110278459,0.585974236166038,6.99141824950891e-22,1.02494574105147e-20,"4312"
"CD80",121.730710306924,3.42860551050787,0.364361824881839,7.37743418937958e-22,1.07345924630667e-20,"941"
"RAD51AP1",93.6033974493789,2.11173715865537,0.221991374590817,7.64730342227775e-22,1.11121799491308e-20,"10635"
"DRAM1",1500.77151015015,1.5857030258759,0.168194055409287,8.67929324407799e-22,1.25183911238441e-20,"55332"
"CD48",466.680986133258,3.02565153824032,0.329342874522672,8.73251827877236e-22,1.25866889219185e-20,"962"
"DNAJB11",970.329222978816,1.11145036441305,0.117262867287343,9.34971388063854e-22,1.34311271852363e-20,"51726"
"MYCBP",306.674669420522,1.38670617409069,0.146528060939514,1.00746023299743e-21,1.43760953221264e-20,"26292"
"EPT1",1169.19815997669,1.17808248551015,0.124216728711995,1.08739189413681e-21,1.54549538906062e-20,NA
"ATP6V1A",2923.26694856193,1.19005132759808,0.125789231673589,1.09459260435855e-21,1.55469869378508e-20,"523"
"TLR6",978.149276833948,1.49177260557332,0.158429988549102,1.14244291700076e-21,1.61776258102465e-20,"10333"
"VRK2",746.877614936585,1.15985170731328,0.122196714769918,1.1488892899178e-21,1.6253560495583e-20,"7444"
"SLAMF1",167.953722925878,3.65555647423673,0.392818676011147,1.16589778182856e-21,1.64615621468141e-20,"6504"
"KIF11",218.215784759754,2.24547903938032,0.240359801671866,1.18744654320956e-21,1.67200949071909e-20,"3832"
"IL1B",74.5404509687805,3.96915272043482,0.428633640867915,1.38450717019711e-21,1.92689234927498e-20,"3553"
"BACH1",3960.99634148666,1.11347564108884,0.11789505734387,1.38854839697572e-21,1.93126267309414e-20,"571"
"CCDC109B",542.213070218968,1.27179089441715,0.135708455865945,1.47458160434521e-21,2.04296751945254e-20,NA
"HIST1H2BO",123.017854107051,3.00123114178305,0.331819970797427,1.5992581989107e-21,2.20572078360701e-20,NA
"BTLA",153.552395493347,3.70630320863775,0.39970357905456,1.77255171973876e-21,2.42754639036171e-20,"151888"
"ICOS",74.0683343388921,3.77938048673797,0.406675664806823,1.92297829041801e-21,2.62350055369378e-20,"29851"
"JKAMP",1100.33536645946,1.27015531839272,0.135025270380421,1.99930363670707e-21,2.72416241866132e-20,"51528"
"HSPA13",1883.2021148593,1.66960572161282,0.178961871367095,2.07424347990811e-21,2.82089216401463e-20,"6782"
"KRT23",27.7109653644907,10.4061490930613,2.42946252315979,2.12959525169075e-21,2.88883639427138e-20,"25984"
"ATR",2270.7993312801,1.24568164511702,0.13266303073675,2.22531400906997e-21,3.01295989617162e-20,"545"
"LAP3",3240.01331636542,1.79981144550083,0.193730743089798,2.25198061084265e-21,3.04521769288269e-20,"51056"
"BIRC6",10849.0570684668,1.00501120026072,0.106770030983222,2.28738722421894e-21,3.09114567318314e-20,"57448"
"CHUK",740.445453233416,1.19183485504093,0.127049921203162,2.66277327325599e-21,3.58487560086027e-20,"1147"
"ERLEC1",2134.28077632255,1.21026336982025,0.129324189024953,2.87673485985156e-21,3.86596315233336e-20,"27248"
"EMR1",46.2569462068839,3.44728984735355,0.375558154141317,3.41090130879374e-21,4.52948251247684e-20,NA
"ATAD5",252.226512682573,1.34965551410428,0.1438694369764,3.52050929164039e-21,4.66924973067627e-20,"79915"
"LRRC8D",719.135197991945,1.08916784320426,0.116221396944375,3.52662500013172e-21,4.67157933422888e-20,"55144"
"RNASE6",658.246495341355,1.86806582858285,0.203326162947136,3.69890389237878e-21,4.88770697443616e-20,"6039"
"MANF",517.342669524181,1.68051505448012,0.18150891868103,3.79434824617582e-21,4.99228151996847e-20,"7873"
